Brand,Prouduct Name,Price,Expected Delivary,Return-Exchange,Availibilty,Img Url
Kadence,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)","4,999","Saturday, 2 September",7 days Replacement,In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B078GTJP5Y/ref=sr_1_48?keywords=guitar&qid=1693314444&sr=8-48
VAULT,"Vault DA20 Dreadnought Acoustic Guitar With Gig-Bag, Picks, Strings Set, String Winder, Strap, Polishing Cloth And Allen Key","4,899","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Dreadnought-Acoustic-Gig-Bag-Strings-Polishing/dp/B0BJJRJVHY/ref=sr_1_49?keywords=guitar&qid=1693314444&sr=8-49
Medellin,"Medellin Acoustic Guitar (with guitar learning course) Neon Orange (Combo, Strings,Bag,Picks and guitar course)","2,499","Saturday, 2 September",7 days Replacement,In stock,https://www.amazon.in/Medellin-Acoustic-Guitar-learning-Strings/dp/B0CCNSN6S4/ref=sr_1_50?keywords=guitar&qid=1693314444&sr=8-50
VAULT,"Vault Traveller 34 Inch Acoustic Guitar With Truss Rod, Gig-Bag, Strap, Strings, Polishing Cloth, String Winder, Picks & E-Book - Natural Gloss","4,084","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Traveller-Acoustic-Guitar-Strings-Polishing/dp/B07RK9962M/ref=sr_1_51?keywords=guitar&qid=1693314444&sr=8-51
Fender,Fender Acoustic Guitar Dreadnought Cutaway Electronics FA-125CE Natural Right-Hand 0971113221 One of The Most reputed Guitar Brands in the World,"18,659","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Fender-FA-125CE-Dreadnought-Fingerboard-Natural/dp/B07R16NMKH/ref=sr_1_52?keywords=guitar&qid=1693314444&sr=8-52
Intern,Intern Int-38c Linden Wood Acoustic Guitar Kit with Carry Bag and Picks (Brown),"2,099","Thursday, 31 August",7 days Replacement,In stock,https://www.amazon.in/Intern-INT-38C-Brown-Acoustic-Guitar/dp/B07X2HV158/ref=sr_1_53?keywords=guitar&qid=1693314444&sr=8-53
-,-,-,-,-,-,https://www.amazon.in/YAMAHA-FS80C-CONCERT-CUTAWAY-GUITAR/dp/B08WBBVMVJ/ref=sr_1_54?keywords=guitar&qid=1693314444&sr=8-54
Cort,Cort GA-MEDX Electro Acoustic Guitar With Bag.(OP),"14,999","Saturday, 2 September",7 days Replacement,Only 1 left in stock,https://www.amazon.in/Cort-GA-MEDX-Electro-Acoustic-Guitar/dp/B09Y3FVX6Y/ref=sr_1_55?keywords=guitar&qid=1693314444&sr=8-55
Kadence,Kadence GenZ Guitar (with Guitar learning course) Acoustic Guitar with Die Cast Keys and Bag (Lavender),"5,999","Saturday, 2 September",7 days Replacement,In stock,https://www.amazon.in/Kadence-Guitar-learning-Acoustic-Lavender/dp/B0CD4CNSPJ/ref=sr_1_56?keywords=guitar&qid=1693314444&sr=8-56
IMAGINEA,Imaginea® 40 inch Acoustic Guitar for Beginner Electric Guitar Premium Wood Curved Cutaway Design Acoustic Guitar with Carry Bag Accessories Melody Maestro Guitar an Incredible Guitar for music,"5,499","Monday, 4 September",7 days Returnable,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NzUxNDAxNTExMjkwNjA1OjE2OTMzMTQ0NDQ6c3BfYnRmOjMwMDAzMTMwMTY1MjczMjo6MDo6&url=%2FImaginea%25C2%25AE-Acoustic-Beginner-Accessories-Incredible%2Fdp%2FB0CDS6Q6CF%2Fref%3Dsr_1_57_sspa%3Fkeywords%3Dguitar%26qid%3D1693314444%26sr%3D8-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
musicalworks.in,-,-,-,-,-,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NzUxNDAxNTExMjkwNjA1OjE2OTMzMTQ0NDQ6c3BfYnRmOjMwMDAyODA5NDIzMTkzMjo6MDo6&url=%2FMusical-Guitar-Cutaway-038G-Strings%2Fdp%2FB09G1BL9PD%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dguitar%26qid%3D1693314444%26sr%3D8-58-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
